timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl
2025-10-31T21:54:31.106632,500000.00,500000.00,0.00,0,No positions,0.00,0.00
2025-10-31T21:58:19.953404,500000.00,500000.00,0.00,0,No positions,0.00,0.00
2025-10-31T22:02:10.104385,500000.00,500000.00,0.00,0,No positions,0.00,0.00
2025-10-31T22:07:44.908192,500000.00,500000.00,0.00,0,No positions,0.00,0.00
2025-10-31T22:11:58.134617,500000.00,500000.00,0.00,0,No positions,0.00,0.00
2025-10-31T22:24:30.352174,11564.69,499865.72,-0.03,2,TQQQ:long:1570.3349@118.0900; SOXL:long:6185.8696@48.9600,488301.03,0.00
2025-10-31T22:30:15.010525,11564.69,500146.47,0.03,2,TQQQ:long:1570.3349@118.0900; SOXL:long:6185.8696@48.9600,488301.03,280.75
2025-10-31T22:34:34.031875,11564.69,502800.24,0.56,2,TQQQ:long:1570.3349@118.0900; SOXL:long:6185.8696@48.9600,488301.03,2934.52
2025-10-31T22:43:57.123192,11564.69,506133.49,1.23,2,TQQQ:long:1570.3349@118.0900; SOXL:long:6185.8696@48.9600,488301.03,6267.78
2025-10-31T22:48:19.394143,11564.69,506477.06,1.30,2,TQQQ:long:1570.3349@118.0900; SOXL:long:6185.8696@48.9600,488301.03,6611.34
2025-10-31T22:52:12.253462,11564.69,506087.34,1.22,2,TQQQ:long:1570.3349@118.0900; SOXL:long:6185.8696@48.9600,488301.03,6221.62
2025-10-31T23:00:27.396990,11564.69,506213.92,1.24,2,TQQQ:long:1570.3349@118.0900; SOXL:long:6185.8696@48.9600,488301.03,6348.20
2025-10-31T23:06:08.733857,11564.69,504696.00,0.94,2,TQQQ:long:1570.3349@118.0900; SOXL:long:6185.8696@48.9600,488301.03,4830.28
2025-10-31T23:11:48.490434,11564.69,504152.11,0.83,2,TQQQ:long:1570.3349@118.0900; SOXL:long:6185.8696@48.9600,488301.03,4286.39
2025-10-31T23:17:34.031550,11564.69,505815.18,1.16,2,TQQQ:long:1570.3349@118.0900; SOXL:long:6185.8696@48.9600,488301.03,5949.46
2025-10-31T23:22:32.432788,11564.69,504063.61,0.81,2,TQQQ:long:1570.3349@118.0900; SOXL:long:6185.8696@48.9600,488301.03,4197.90
2025-10-31T23:30:43.819134,11564.69,502554.71,0.51,2,TQQQ:long:1570.3349@118.0900; SOXL:long:6185.8696@48.9600,488301.03,2688.99
