timestamp,rank,model,total_return_pct,win_rate,total_trades,total_pnl,sharpe_ratio
2025-10-28T23:20:52.409315,1,deepseek_v3.1,0.0,0,0,0.0,0.0
2025-10-28T23:20:52.409315,2,qwen3_max,-10.0,0.0,1,0.0,0.0
