timestamp,total_balance,total_equity,total_return_pct,num_positions,position_details,total_margin,net_unrealized_pnl
2025-10-31T22:57:02.437074,240221.41,504000.51,0.80,3,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; TQQQ:long:1931.6794@118.8100,261379.85,2399.26
2025-10-31T23:01:30.684419,128142.83,504703.46,0.94,4,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; TQQQ:long:1931.6794@118.8100; MSTR:short:1228.0534@273.5700,373366.04,3194.59
2025-10-31T23:05:30.192317,128142.83,505096.71,1.02,4,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; TQQQ:long:1931.6794@118.8100; MSTR:short:1228.0534@273.5700,373366.04,3587.84
2025-10-31T23:09:38.696833,71618.39,504141.57,0.83,7,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; TQQQ:long:1931.6794@118.8100; MSTR:short:1228.0534@273.5700; BYND:short:12500.0000@1.5900; SQQQ:long:4843.7500@12.9100; SOXS:long:10763.7778@3.2100,429858.31,2664.86
2025-10-31T23:13:43.693117,126941.79,501876.22,0.38,6,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; TQQQ:long:1931.6794@118.8100; SQQQ:long:4843.7500@12.9100; SOXS:long:10763.7778@3.2100; TSLA:long:415.8858@456.8300,373251.82,1682.61
2025-10-31T23:17:43.032717,126941.79,503059.71,0.61,6,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; TQQQ:long:1931.6794@118.8100; SQQQ:long:4843.7500@12.9100; SOXS:long:10763.7778@3.2100; TSLA:long:415.8858@456.8300,373251.82,2866.11
2025-10-31T23:21:51.500787,140321.52,501225.48,0.25,6,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; TQQQ:long:1931.6794@118.8100; TSLA:long:415.8858@456.8300; BYND:short:29812.8000@1.6200; MSTR:short:171.5094@274.0500,359695.63,1208.33
2025-10-31T23:26:41.346303,219056.71,499733.85,-0.05,4,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; TQQQ:long:1931.6794@118.8100; BYND:short:29812.8000@1.6200,280698.54,-21.40
2025-10-31T23:30:52.759408,56684.79,499605.93,-0.08,6,PLTR:long:1305.2396@201.6300; NVDA:long:1196.9811@205.1500; TQQQ:long:1931.6794@118.8100; BYND:short:29812.8000@1.6200; TSLA:long:438.0070@456.3150; MSTR:short:455.1122@273.9900,442981.21,-60.07
2025-11-01T06:08:05.187855,216502.32,492283.89,-1.54,5,TSLA:long:438.0070@456.3150; MSTR:short:455.1122@273.9900; NVDA:long:490.8032@202.4900; PLTR:long:493.9394@200.4750; TQQQ:long:829.2683@116.6400,273709.59,2071.98
